QID,tipo_modelo,origem_modelo,tecnica_prompt,pergunta_resumo,redflags_str,Coluna 1
103,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where each node is a user and the edges represent friendships with weights indicating t…","Ambiguidade, Gabarito incorreto","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual"
104,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where the vertices represent users and the edges represent friendships with weights ind…","Ambiguidade, Gabarito incorreto, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
105,LLM,LLM (Llama-3.3-70B),zero-shot,"In a social network represented as a weighted graph, where vertices are users and edges represent friendships with weights indicating the st…","Ambiguidade, Falta de contexto, Nivel congnitivo inadequado","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Nível cognitivo inadequado"
106,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,Distratores Fracos,Distratores fracos/triviais
107,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
108,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,Distratores Fracos,Distratores fracos/triviais
109,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
110,LLM,LLM (Llama-3.3-70B),few-shot,What is a key characteristic of recursive functions in solving problems?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
111,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
112,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
113,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
114,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the main risk of sharing the private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
115,LLM,LLM (Llama-3.3-70B),chain-of-thought,What is the primary risk associated with sharing your private key in asymmetric encryption?,Distratores Fracos,Distratores fracos/triviais
116,LLM,LLM (Llama-3.3-70B),exemplar-guided,"Imagine you're sending a large email with many photos to a friend. To make it easier to transmit, the internet breaks down the email into sm…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
117,LLM,LLM (Llama-3.3-70B),exemplar-guided,"In packet switching, when a message is broken into smaller pieces called packets and sent over a network, what happens to these packets at t…","Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
118,LLM,LLM (Llama-3.3-70B),exemplar-guided,"In packet switching, when a message is broken into smaller pieces called packets and sent over a network, what happens to these packets at t…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
119,LLM,LLM (Llama-3.3-70B),exemplar-guided,"Imagine you're sending a large email with many photos to a friend. Packet switching is like breaking this email into smaller pieces, called …",Distratores Fracos,Distratores fracos/triviais
120,LLM,LLM (Llama-3.3-70B),exemplar-guided,"Imagine you're sending a large email with many pictures to your friend. To make it easier to send, the email is broken down into smaller par…",Distratores Fracos,Distratores fracos/triviais
121,LLM,LLM (Llama-3.3-70B),template-based,[About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>,Distratores Fracos,Distratores fracos/triviais
122,LLM,LLM (Llama-3.3-70B),template-based,"How can transparency in AI systems help mitigate algorithmic bias, and what is the primary reason AI must be auditable according to BNCC EF0…",Distratores Fracos,Distratores fracos/triviais
123,LLM,LLM (Llama-3.3-70B),template-based,[About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>,Distratores Fracos,Distratores fracos/triviais
124,LLM,LLM (Llama-3.3-70B),template-based,[About transparency and algorithmic bias]... Correct Answer: [Number]. Explanation: [Why AI must be auditable] (BNCC EF09C007).<|end|>,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
125,LLM,LLM (Llama-3.3-70B),template-based,"What is crucial for ensuring fairness and trust in AI systems to prevent algorithmic bias and discrimination, and why is it important for AI…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
126,LLM,LLM (GPT-OSS-120B),zero-shot,"In a weighted undirected graph that models a social network, each vertex represents a user and each edge weight represents the frequency of …",,(nenhuma detectada)
127,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network modeled as a weighted undirected graph, each edge weight represents the number of interactions per month between two use…",Nivel congnitivo inadequado,Nível cognitivo inadequado
128,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network represented by the weighted undirected graph below, the vertices are users (A, B, C, D, E) and the edge weights indicate…","Ambiguidade, Gabarito incorreto, Problemas de linguagem, Ausência de avaliação clara","Ambiguidade/enunciado vago, Gabarito incorreto/erro factual, Problemas de linguagem/gramática, Sem objetivo avaliativo claro"
129,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network of five individuals (A, B, C, D, E), the connections are represented by an undirected weighted graph where each weight i…",Gabarito incorreto,Gabarito incorreto/erro factual
130,LLM,LLM (GPT-OSS-120B),zero-shot,"In a social network modeled as a weighted undirected graph, each edge weight represents the strength of the friendship between two users (th…",Nivel congnitivo inadequado,Nível cognitivo inadequado
131,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function that calculates the factorial of a number n, which option best describes how the sub‑problem is used?","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
132,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function, which of the following best describes the role of solving sub‑problems?",Distratores Fracos,Distratores fracos/triviais
133,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function that calculates the factorial of a positive integer n, which part of the function is responsible for creating the su…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
134,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function, why is the problem divided into smaller sub‑problems?",Distratores Fracos,Distratores fracos/triviais
135,LLM,LLM (GPT-OSS-120B),few-shot,"In a recursive function that calculates the factorial of a non‑negative integer n, which part of the function is responsible for creating th…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
136,LLM,LLM (GPT-OSS-120B),chain-of-thought,Which of the following statements correctly describes a risk associated with sharing your private key in an asymmetric encryption system?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
137,LLM,LLM (GPT-OSS-120B),chain-of-thought,"In an asymmetric encryption system, what is the most serious risk of sharing the private key with others?","Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
138,LLM,LLM (GPT-OSS-120B),chain-of-thought,Which statement correctly describes the relationship between the public key and the private key in an asymmetric encryption system?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
139,LLM,LLM (GPT-OSS-120B),chain-of-thought,Which of the following statements best describes the risk associated with sharing a private key in an asymmetric encryption system?,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
140,LLM,LLM (GPT-OSS-120B),chain-of-thought,Which of the following statements correctly describes a risk associated with sharing a private key in an asymmetric encryption system?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
141,LLM,LLM (GPT-OSS-120B),exemplar-guided,"In packet switching, data is divided into packets much like a letter cut into pieces. Which statement best describes what happens to these p…","Gabarito incorreto, Distratores Fracos","Distratores fracos/triviais, Gabarito incorreto/erro factual"
142,LLM,LLM (GPT-OSS-120B),exemplar-guided,"""A data packet is like a letter cut into pieces."" In a packet‑switched network, what happens to these pieces (packets) as they travel to the…","Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
143,LLM,LLM (GPT-OSS-120B),exemplar-guided,"In packet switching, a data packet is like a letter cut into pieces that travel separately through the network and are put back together at …",Distratores Fracos,Distratores fracos/triviais
144,LLM,LLM (GPT-OSS-120B),exemplar-guided,"In a packet‑switched network, a data packet is like a letter cut into pieces that travel separately and are reassembled at the destination. …",Distratores Fracos,Distratores fracos/triviais
145,LLM,LLM (GPT-OSS-120B),exemplar-guided,"""A data packet is like a letter cut into pieces."" In a packet‑switched network, these pieces travel separately and must be put back together…","Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
146,LLM,LLM (GPT-OSS-120B),template-based,Which statement best explains why transparency and the ability to audit AI systems are essential for reducing algorithmic bias?,Distratores Fracos,Distratores fracos/triviais
147,LLM,LLM (GPT-OSS-120B),template-based,Which statement best explains why transparency and the ability to audit AI systems are essential for preventing algorithmic bias?,Distratores Fracos,Distratores fracos/triviais
148,LLM,LLM (GPT-OSS-120B),template-based,Which statement best explains why transparency and the ability to audit AI systems are essential for preventing algorithmic bias?,Distratores Fracos,"Distratores fracos/triviais, Gabarito incorreto/erro factual"
149,LLM,LLM (GPT-OSS-120B),template-based,Why is transparency important in AI systems when addressing algorithmic bias?,Distratores Fracos,Distratores fracos/triviais
150,LLM,LLM (GPT-OSS-120B),template-based,Which statement best explains why transparency and the ability to audit AI systems are essential for addressing algorithmic bias?,Distratores Fracos,"Ambiguidade/enunciado vago, Distratores fracos/triviais"
151,LLM,LLM (Qwen-3-32B),zero-shot,"In a social network modeled as a weighted graph, where each node represents a user and each edge represents a connection between two users, …","Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
152,LLM,LLM (Qwen-3-32B),zero-shot,<think>,Distratores Fracos,Distratores fracos/triviais
153,LLM,LLM (Qwen-3-32B),zero-shot,<think>,"Ambiguidade, Falta de contexto, Ausência de avaliação clara","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Sem objetivo avaliativo claro"
154,LLM,LLM (Qwen-3-32B),zero-shot,<think>,"Ambiguidade, Nivel congnitivo inadequado","Ambiguidade/enunciado vago, Nível cognitivo inadequado"
155,LLM,LLM (Qwen-3-32B),zero-shot,<think>,Ambiguidade,Ambiguidade/enunciado vago
156,LLM,LLM (Qwen-3-32B),few-shot,"""What happens if a recursive function does not divide the problem into smaller sub-problems?"" The options need to include plausible distract…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
157,LLM,LLM (Qwen-3-32B),few-shot,What is the primary purpose of breaking a problem into sub-problems in recursive functions? The options could be about reducing problem size…,Distratores Fracos,Distratores fracos/triviais
158,LLM,LLM (Qwen-3-32B),few-shot,"""What is the primary issue if a recursive function does not handle sub-problems correctly?"" Then options like 0) Infinite loops, 1) Stack ov…","Ambiguidade, Falta de contexto, Gabarito incorreto","Ambiguidade/enunciado vago, Falta de contexto/dependência externa, Gabarito incorreto/erro factual"
159,LLM,LLM (Qwen-3-32B),few-shot,What ensures that a recursive function correctly reduces the problem into smaller sub-problems?,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
160,LLM,LLM (Qwen-3-32B),few-shot,"""What is a key characteristic of how recursive functions approach problem-solving?"" The options would be:",Distratores Fracos,Distratores fracos/triviais
161,LLM,LLM (Qwen-3-32B),chain-of-thought,Which statement correctly describes the risks of sharing a private key in an asymmetric encryption system?,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
162,LLM,LLM (Qwen-3-32B),chain-of-thought,What is the primary risk if a user shares their asymmetric encryption private key with others?,Distratores Fracos,Distratores fracos/triviais
163,LLM,LLM (Qwen-3-32B),chain-of-thought,"In asymmetric encryption, which key should never be shared, and why?","Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
164,LLM,LLM (Qwen-3-32B),chain-of-thought,What is the primary risk of sharing a private key in asymmetric encryption?,"Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
165,LLM,LLM (Qwen-3-32B),chain-of-thought,Which of the following is a critical risk if a user shares their private key in asymmetric encryption?,"Gabarito incorreto, Distratores Fracos","Distratores fracos/triviais, Gabarito incorreto/erro factual"
166,LLM,LLM (Qwen-3-32B),exemplar-guided,"In packet switching, data is divided into packets. How are these packets reassembled at the destination?",Distratores Fracos,Distratores fracos/triviais
167,LLM,LLM (Qwen-3-32B),exemplar-guided,"When using packet switching, how are data packets handled during transmission and at the destination?",Distratores Fracos,Distratores fracos/triviais
168,LLM,LLM (Qwen-3-32B),exemplar-guided,"In packet switching, how are data packets handled during transmission and reassembly?",Distratores Fracos,Distratores fracos/triviais
169,LLM,LLM (Qwen-3-32B),exemplar-guided,"In packet switching, how are data packets handled during transmission?",Distratores Fracos,Distratores fracos/triviais
170,LLM,LLM (Qwen-3-32B),exemplar-guided,"When sending a message over a network using packet switching, what happens to the individual packets at the destination?","Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"
171,LLM,LLM (Qwen-3-32B),template-based,"""Why is transparency in AI systems crucial for addressing algorithmic bias?"" Then list the options. Let me check the BNCC standard EF09C007 …",Distratores Fracos,Distratores fracos/triviais
172,LLM,LLM (Qwen-3-32B),template-based,"""Why is it important for AI systems to be auditable in the context of ethics?"" Then, create options where one directly relates to identifyin…",Distratores Fracos,Distratores fracos/triviais
173,LLM,LLM (Qwen-3-32B),template-based,[How many key principles must be followed to ensure fairness in AI systems?],"Ambiguidade, Desalinhamento entre enunciado e alternativas","Ambiguidade/enunciado vago, Desalinhamento enunciado×opções"
174,LLM,LLM (Qwen-3-32B),template-based,"""Why is transparency crucial in AI systems to prevent algorithmic bias?"" Then possible options could include ""To ensure decisions can be rev…",Distratores Fracos,Distratores fracos/triviais
175,LLM,LLM (Qwen-3-32B),template-based,Which key principle in AI ethics ensures that algorithms can be audited to detect and address algorithmic bias?,Distratores Fracos,Distratores fracos/triviais
176,LLM,LLM (Kimi-K2),zero-shot,"In a weighted directed graph that models a social-media influence network, the vertices are users and the weight of an edge A → B is the pro…",Distratores Fracos,Distratores fracos/triviais
177,LLM,LLM (Kimi-K2),zero-shot,"In a weighted directed graph that models a social-media influence network, the vertices are users and the weight of an edge A → B is the pro…",Distratores Fracos,Distratores fracos/triviais
178,LLM,LLM (Kimi-K2),zero-shot,"In a weighted directed graph that models a social-media influence network, the vertices are users and the weight of an edge A → B is the pro…",Distratores Fracos,Distratores fracos/triviais
179,LLM,LLM (Kimi-K2),zero-shot,"In a weighted directed graph that models a social-media influence network, the vertices are users and an edge u → v with weight w means “u’s…",Ambiguidade,Ambiguidade/enunciado vago
180,LLM,LLM (Kimi-K2),zero-shot,"A school is analyzing its students' friendship network as a weighted graph. Each vertex is a student, each edge is a friendship, and the wei…","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
181,LLM,LLM (Kimi-K2),few-shot,"When a recursive function is called, what does it do with the original problem?","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
182,LLM,LLM (Kimi-K2),few-shot,"In a recursive function, what is the role of each recursive call?",Distratores Fracos,Distratores fracos/triviais
183,LLM,LLM (Kimi-K2),few-shot,"When a recursive function splits a problem into smaller parts, what do we call each of these smaller parts?",Distratores Fracos,Distratores fracos/triviais
184,LLM,LLM (Kimi-K2),few-shot,"When a recursive function is called, how does it usually guarantee that the sub-problem is smaller than the original?",Ambiguidade,Ambiguidade/enunciado vago
185,LLM,LLM (Kimi-K2),few-shot,"When a recursive function is solving a problem, what does it do with the original problem?",,(nenhuma detectada)
186,LLM,LLM (Kimi-K2),chain-of-thought,"In an asymmetric encryption system, which key must NEVER be shared with anyone else?",Distratores Fracos,Distratores fracos/triviais
187,LLM,LLM (Kimi-K2),chain-of-thought,"In an asymmetric encryption system, what is the main risk if a user accidentally shares their private key with strangers?","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
188,LLM,LLM (Kimi-K2),chain-of-thought,"In an asymmetric encryption system, which key must remain secret to keep the encrypted data safe?",Distratores Fracos,Distratores fracos/triviais
189,LLM,LLM (Kimi-K2),chain-of-thought,"In an asymmetric encryption system, which key must be kept secret to ensure the security of the encrypted data?","Ambiguidade, Distratores Fracos, Problemas de linguagem","Ambiguidade/enunciado vago, Distratores fracos/triviais, Problemas de linguagem/gramática"
190,LLM,LLM (Kimi-K2),chain-of-thought,"In an asymmetric encryption system, Alice keeps one key strictly to herself and places the matching key on a public web server so anyone can…",Distratores Fracos,Distratores fracos/triviais
191,LLM,LLM (Kimi-K2),exemplar-guided,"A data packet is like a letter cut into pieces. When these pieces travel separately through the Internet and reach the destination, what mus…","Ambiguidade, Distratores Fracos, Problemas de linguagem","Ambiguidade/enunciado vago, Distratores fracos/triviais"
192,LLM,LLM (Kimi-K2),exemplar-guided,"A data packet is like a letter cut into pieces. When these pieces travel separately across the Internet and arrive at the destination, what …","Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
193,LLM,LLM (Kimi-K2),exemplar-guided,"A data packet is like a letter cut into pieces. During packet switching, what ensures these pieces are correctly reassembled at the destinat…",Distratores Fracos,Distratores fracos/triviais
194,LLM,LLM (Kimi-K2),exemplar-guided,"A data packet is like a letter cut into pieces. When these pieces travel separately across the Internet and arrive at your computer, what mu…",Distratores Fracos,Distratores fracos/triviais
195,LLM,LLM (Kimi-K2),exemplar-guided,"A data packet is like a letter cut into pieces. During packet switching, what must happen to these “pieces” so the destination computer can …","Ambiguidade, Distratores Fracos, Gabarito incorreto","Ambiguidade/enunciado vago, Distratores fracos/triviais, Gabarito incorreto/erro factual"
196,LLM,LLM (Kimi-K2),template-based,"A bank uses an AI system to decide who gets a loan. If the system is a “black box,” what is the MAIN ethical problem for customers?",Distratores Fracos,Distratores fracos/triviais
197,LLM,LLM (Kimi-K2),template-based,A bank uses an AI system to decide who gets a loan. Some customers complain they were rejected without knowing why. Which action BEST shows …,"Ambiguidade, Distratores Fracos","Ambiguidade/enunciado vago, Distratores fracos/triviais"
198,LLM,LLM (Kimi-K2),template-based,A bank uses an AI system to decide who gets a loan. The system keeps its decision rules secret and sometimes refuses credit to worthy custom…,Distratores Fracos,Distratores fracos/triviais
199,LLM,LLM (Kimi-K2),template-based,"Why is it important that AI systems used in schools, like automatic grading tools, be transparent and auditable?",Distratores Fracos,Distratores fracos/triviais
200,LLM,LLM (Kimi-K2),template-based,Why is it important for AI systems to be auditable and transparent when making decisions that affect people?,"Distratores Fracos, Gabarito incorreto","Distratores fracos/triviais, Gabarito incorreto/erro factual"